2001-02-03,90,Soul Sista,Bilal
2001-02-03,91,Meanwhile Back At The Ranch,The Clark Family Experience
2001-02-03,92,You Should've Told Me,Kelly Price
2001-02-03,93,Stan,Eminem Featuring Dido
2001-02-03,94,Oklahoma,Billy Gilman
2001-02-03,95,Pour Me,Trick Pony
2001-02-03,96,How Many Licks?,Lil' Kim Featuring Sisqo
2001-02-03,97,You All Dat,Baha Men With Imani Coppola
2001-02-03,98,Georgia,Carolyn Dawn Johnson
2001-02-03,99,Change The Game,Jay-Z Beanie Sigel And Memphis Bleek
2001-02-03,100,She Bangs,Ricky Martin
2001-02-10,1,It Wasn't Me,Shaggy Featuring Ricardo RikRok Ducent
2001-02-10,2,Ms. Jackson,OutKast
2001-02-10,3,Independent Women Part I,Destiny's Child
2001-02-10,4,Don't Tell Me,Madonna
2001-02-10,5,Again,Lenny Kravitz
2001-02-10,6,Love Don't Cost A Thing,Jennifer Lopez
2001-02-10,7,Stutter,Joe Featuring Mystikal
2001-02-10,8,If You're Gone,matchbox twenty
2001-02-10,9,He Loves U Not,Dream
2001-02-10,10,The Way You Love Me,Faith Hill
2001-02-10,11,Put It On Me,Ja Rule Featuring Lil' Mo & Vita
2001-02-10,12,Angel,Shaggy Featuring Rayvon
2001-02-10,13,With Arms Wide Open,Creed
2001-02-10,14,Danger (Been So Long),Mystikal Featuring Nivea
2001-02-10,15,Case Of The Ex (Whatcha Gonna Do),Mya
2001-02-10,16,I Hope You Dance,Lee Ann Womack With Sons Of The Desert
2001-02-10,17,Kryptonite,3 Doors Down
2001-02-10,18,Crazy For This Girl,Evan And Jaron
2001-02-10,19,I Just Wanna Love U (Give It 2 Me),Jay-Z
2001-02-10,20,Crazy,K-Ci & JoJo
2001-02-10,21,Beautiful Day,U2
2001-02-10,22,This I Promise You,'N Sync
2001-02-10,23,Liquid Dreams,O-Town
2001-02-10,24,Promise,Jagged Edge
2001-02-10,25,Butterfly,Crazy Town
2001-02-10,26,Nobody Wants To Be Lonely,Ricky Martin With Christina Aguilera
2001-02-10,27,Stronger,Britney Spears
2001-02-10,28,Jaded,Aerosmith
2001-02-10,29,No More (Baby I'ma Do Right),3LW
2001-02-10,30,South Side,Moby Featuring Gwen Stefani
2001-02-10,31,Hemorrhage (In My Hands),Fuel
2001-02-10,32,Thank You,Dido
2001-02-10,33,I Wish,R. Kelly
2001-02-10,34,My Everything,98 Degrees
2001-02-10,35,What's Your Fantasy,Ludacris Featuring Shawna
2001-02-10,36,You Make Me Sick,Pink
2001-02-10,37,E.I.,Nelly
2001-02-10,38,Southern Hospitality,Ludacris
2001-02-10,39,Tell Her,Lonestar
2001-02-10,40,There Is No Arizona,Jamie O'Neal
2001-02-10,41,It's Over Now,112
2001-02-10,42,You Shouldn't Kiss Me Like This,Toby Keith
